Frame 1570 | Time 62.76s | Emotion: sad
Frame 1572 | Time 62.84s | Emotion: sad
Frame 1574 | Time 62.92s | Emotion: sad
Frame 1576 | Time 63.00s | Emotion: sad
Frame 1578 | Time 63.08s | Emotion: sad
Frame 1580 | Time 63.16s | Emotion: sad
Frame 1582 | Time 63.24s | Emotion: sad
Frame 1584 | Time 63.32s | Emotion: sad
Frame 1586 | Time 63.40s | Emotion: sad
Frame 1588 | Time 63.48s | Emotion: sad
Frame 1590 | Time 63.56s | Emotion: sad
Frame 1592 | Time 63.64s | Emotion: sad
Frame 1594 | Time 63.72s | Emotion: neutral
Frame 1596 | Time 63.80s | Emotion: neutral
Frame 1598 | Time 63.88s | Emotion: neutral
Frame 1600 | Time 63.96s | Emotion: sad
Frame 1602 | Time 64.04s | Emotion: neutral
Frame 1604 | Time 64.12s | Emotion: neutral
Frame 1606 | Time 64.20s | Emotion: neutral
Frame 1608 | Time 64.28s | Emotion: neutral
Frame 1610 | Time 64.36s | Emotion: neutral
Frame 1612 | Time 64.44s | Emotion: neutral
Frame 1614 | Time 64.52s | Emotion: neutral
Frame 1616 | Time 64.60s | Emotion: neutral
Frame 1618 | Time 64.68s | Emotion: neutral
Frame 1880 | Time 75.16s | Emotion: neutral
Frame 1882 | Time 75.24s | Emotion: neutral
Frame 1884 | Time 75.32s | Emotion: angry
Frame 1886 | Time 75.40s | Emotion: neutral
Frame 1888 | Time 75.48s | Emotion: neutral
Frame 1890 | Time 75.56s | Emotion: neutral
Frame 1892 | Time 75.64s | Emotion: neutral
Frame 1894 | Time 75.72s | Emotion: neutral
Frame 1896 | Time 75.80s | Emotion: neutral
Frame 1898 | Time 75.88s | Emotion: neutral
Frame 1900 | Time 75.96s | Emotion: neutral
Frame 1902 | Time 76.04s | Emotion: neutral
Frame 1904 | Time 76.12s | Emotion: neutral
Frame 1906 | Time 76.20s | Emotion: neutral
Frame 1908 | Time 76.28s | Emotion: neutral
Frame 1910 | Time 76.36s | Emotion: neutral
Frame 1912 | Time 76.44s | Emotion: neutral
Frame 1914 | Time 76.52s | Emotion: neutral
Frame 1916 | Time 76.60s | Emotion: neutral
Frame 1918 | Time 76.68s | Emotion: neutral
Frame 1920 | Time 76.76s | Emotion: neutral
Frame 1922 | Time 76.84s | Emotion: neutral
Frame 1924 | Time 76.92s | Emotion: neutral
Frame 1926 | Time 77.00s | Emotion: neutral
Frame 1928 | Time 77.08s | Emotion: neutral
Frame 1930 | Time 77.16s | Emotion: neutral
Frame 1932 | Time 77.24s | Emotion: neutral
Frame 1934 | Time 77.32s | Emotion: neutral
Frame 1936 | Time 77.40s | Emotion: neutral
Frame 1938 | Time 77.48s | Emotion: neutral
Frame 1940 | Time 77.56s | Emotion: neutral
Frame 1942 | Time 77.64s | Emotion: neutral
Frame 1944 | Time 77.72s | Emotion: neutral
Frame 1946 | Time 77.80s | Emotion: neutral
Frame 1948 | Time 77.88s | Emotion: neutral
Frame 1950 | Time 77.96s | Emotion: neutral
Frame 1952 | Time 78.04s | Emotion: neutral
Frame 1954 | Time 78.12s | Emotion: neutral
Frame 1956 | Time 78.20s | Emotion: neutral
Frame 1958 | Time 78.28s | Emotion: neutral
Frame 1960 | Time 78.36s | Emotion: neutral
Frame 1962 | Time 78.44s | Emotion: neutral
Frame 1964 | Time 78.52s | Emotion: neutral
Frame 1966 | Time 78.60s | Emotion: neutral
Frame 1968 | Time 78.68s | Emotion: neutral
Frame 1970 | Time 78.76s | Emotion: neutral
Frame 1972 | Time 78.84s | Emotion: neutral
Frame 1974 | Time 78.92s | Emotion: neutral
Frame 1976 | Time 79.00s | Emotion: neutral
Frame 1978 | Time 79.08s | Emotion: neutral
